,CNPJ,NOME,ENDEREÇO,COMPLEMENTO,BAIRRO,MUNICÍPIO,UF,PRODUTO,VALOR VENDA,DATA CADASTRO
0,00062780000102,AUTO POSTO PARATI,"AVENIDA FILINTO MULLER,645",,CENTRO,TRES LAGOAS,MS,Gasolina C Comum,4.4360,28/06/2018
1,00062780000102,AUTO POSTO PARATI,"AVENIDA FILINTO MULLER,645",,CENTRO,TRES LAGOAS,MS,Etanol,3.4820,'28/06/2018
2,00062780000102,AUTO POSTO PARATI,"AVENIDA FILINTO MULLER,645",,CENTRO,TRES LAGOAS,MS,Diesel S500,3.6440,'28/06/2018
3,00062780000102,AUTO POSTO PARATI,"AVENIDA FILINTO MULLER,645",,CENTRO,TRES LAGOAS,MS,Diesel S10,3.7340,'28/06/2018
4,00300357000195,POSTO E TRANSPORTADORA PEGORARO,"RODOVIA BR 163,S/N",KM 786,ZONA RURAL,COXIM,MS,Gasolina C Comum,4.3490,'09/12/2018
5,00300357000195,POSTO E TRANSPORTADORA PEGORARO,"RODOVIA BR 163,S/N",KM 786,ZONA RURAL,COXIM,MS,Etanol,3.5990,'09/12/2018
6,00300357000195,POSTO E TRANSPORTADORA PEGORARO,"RODOVIA BR 163,S/N",KM 786,ZONA RURAL,COXIM,MS,Diesel S500,3.4990,'09/12/2018
7,00300357000195,POSTO E TRANSPORTADORA PEGORARO,"RODOVIA BR 163,S/N",KM 786,ZONA RURAL,COXIM,MS,Diesel S10,3.5990,'09/12/2018
8,00360990000179,POSTO DOS ANOES LTDA,"QUADRA SHC/SUL SQ,315",BLOCO A PLL 01,ASA SUL,BRASILIA,DF,Gasolina C Comum,4.2890,'28/11/2018
9,00360990000179,POSTO DOS ANOES LTDA,"QUADRA SHC/SUL SQ,315",BLOCO A PLL 01,ASA SUL,BRASILIA,DF,Etanol,3.4900,'28/11/2018
10,00360990000179,POSTO DOS ANOES LTDA,"QUADRA SHC/SUL SQ,315",BLOCO A PLL 01,ASA SUL,BRASILIA,DF,Diesel S10,4.0500,'28/11/2018
11,00480284000160,POSTO CENTRAL,"AVENIDA GUAXENDUBA,200",,CENTRO,SAO LUIS,MA,Gasolina C Comum,4.1690,'13/11/2018
12,00480284000160,POSTO CENTRAL,"AVENIDA GUAXENDUBA,200",,CENTRO,SAO LUIS,MA,Diesel S10,3.6590,'13/11/2018
13,00593430000164,AUTO POSTO BRINATI," LINHA MC-06,6190",TERREO,INDUSTRIAL,MACHADINHO D'OESTE,RO,Gasolina C Comum,4.8000,'04/07/2018
14,00593430000164,AUTO POSTO BRINATI," LINHA MC-06,6190",TERREO,INDUSTRIAL,MACHADINHO D'OESTE,RO,Diesel S500,3.7800,'04/07/2018
15,00593430000245,AUTO POSTO BRINATI,"LINHA SME 02,S/N","KM 72 - LOTE 01, QUADRA 01 - NÚCLEO SANTA MARIA",ZONA RURAL,MACHADINHO D'OESTE,RO,Gasolina C Comum,4.8000,'06/08/2018
16,00593430000245,AUTO POSTO BRINATI,"LINHA SME 02,S/N","KM 72 - LOTE 01, QUADRA 01 - NÚCLEO SANTA MARIA",ZONA RURAL,MACHADINHO D'OESTE,RO,Diesel S500,3.8100,'06/08/2018
17,00860197000139,POSTO NOSSA SENHORA DA CONCEICAO,"RUA EDUARDO SANTOS PEREIRA,601",,JARDIM BRASIL,CAMPO GRANDE,MS,Gasolina C Comum,4.2580,'21/11/2018
18,00860197000139,POSTO NOSSA SENHORA DA CONCEICAO,"RUA EDUARDO SANTOS PEREIRA,601",,JARDIM BRASIL,CAMPO GRANDE,MS,Etanol,3.2990,'21/11/2018
19,00860197000139,POSTO NOSSA SENHORA DA CONCEICAO,"RUA EDUARDO SANTOS PEREIRA,601",,JARDIM BRASIL,CAMPO GRANDE,MS,Diesel S500,3.5990,'21/11/2018
20,00860197000139,POSTO NOSSA SENHORA DA CONCEICAO,"RUA EDUARDO SANTOS PEREIRA,601",,JARDIM BRASIL,CAMPO GRANDE,MS,Diesel S10,3.6990,'21/11/2018
21,00976256000139,CEU 070 COMBUSTIVEIS LTDA," LOTE 499 GLEBA 04 PROJ INTEG,S/N",ALEXANDRE GUSMAO,CEILANDIA,BRASILIA,DF,Gasolina C Comum,4.6870,'09/10/2018
22,00976256000139,CEU 070 COMBUSTIVEIS LTDA," LOTE 499 GLEBA 04 PROJ INTEG,S/N",ALEXANDRE GUSMAO,CEILANDIA,BRASILIA,DF,Diesel S500,3.7990,'09/10/2018
23,00976256000139,CEU 070 COMBUSTIVEIS LTDA," LOTE 499 GLEBA 04 PROJ INTEG,S/N",ALEXANDRE GUSMAO,CEILANDIA,BRASILIA,DF,Diesel S10,3.8990,'09/10/2018
24,00976256000139,CEU 070 COMBUSTIVEIS LTDA," LOTE 499 GLEBA 04 PROJ INTEG,S/N",ALEXANDRE GUSMAO,CEILANDIA,BRASILIA,DF,Etanol,3.2990,'09/10/2018
25,01088431000114,POSTO SAMBAREIA,"ACESSO BR 316 KM 27,S/N",,ZONA RURAL,DEMERVAL LOBAO,PI,Gasolina C Comum,4.6990,'11/04/2019
26,01088431000114,POSTO SAMBAREIA,"ACESSO BR 316 KM 27,S/N",,ZONA RURAL,DEMERVAL LOBAO,PI,Diesel S500,3.5290,'28/03/2019
27,01088431000114,POSTO SAMBAREIA,"ACESSO BR 316 KM 27,S/N",,ZONA RURAL,DEMERVAL LOBAO,PI,Diesel S10,3.5490,'28/03/2019
28,01109449000155,RODOCAMP AUTO SERVICE LTDA,"AVENIDA MERCEDES BENZ,01",GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Gasolina C Comum,4.2990,'23/01/2019
29,01109449000155,RODOCAMP AUTO SERVICE LTDA,"AVENIDA MERCEDES BENZ,01",GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Etanol,2.8990,'19/02/2019
30,01109449000155,RODOCAMP AUTO SERVICE LTDA,"AVENIDA MERCEDES BENZ,01",GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,GNV,2.9990,'19/02/2019
31,01109449000155,RODOCAMP AUTO SERVICE LTDA,"AVENIDA MERCEDES BENZ,01",GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Diesel S500,3.5990,'23/01/2019
32,01109449000155,RODOCAMP AUTO SERVICE LTDA,"AVENIDA MERCEDES BENZ,01",GLEBA 1                   QT 8907,DISTRITO INDUSTRIAL,CAMPINAS,SP,Diesel S10,3.6990,'23/01/2019
33,01138114000165,POSTO JK,"RODOVIA BR 040 KM 102,S N",,,CRISTALINA,GO,Gasolina C Comum,4.7400,'17/04/2019
34,01138114000165,POSTO JK,"RODOVIA BR 040 KM 102,S N",,,CRISTALINA,GO,Etanol,3.1900,'17/04/2019
35,01138114000165,POSTO JK,"RODOVIA BR 040 KM 102,S N",,,CRISTALINA,GO,Diesel S500,3.7200,'18/04/2019
36,01138114000165,POSTO JK,"RODOVIA BR 040 KM 102,S N",,,CRISTALINA,GO,Diesel S10,3.7900,'18/04/2019
37,01182484000108,POSTO CHAPARRAL,"AVENIDA LINO SAMPAIO,83",,SAMPAIO,PIRES DO RIO,GO,Gasolina C Comum,4.7200,'10/08/2018
38,01182484000108,POSTO CHAPARRAL,"AVENIDA LINO SAMPAIO,83",,SAMPAIO,PIRES DO RIO,GO,Etanol,2.9900,'10/08/2018
39,01182484000108,POSTO CHAPARRAL,"AVENIDA LINO SAMPAIO,83",,SAMPAIO,PIRES DO RIO,GO,Diesel S500,3.4900,'10/08/2018
40,01182484000108,POSTO CHAPARRAL,"AVENIDA LINO SAMPAIO,83",,SAMPAIO,PIRES DO RIO,GO,Diesel S10,3.5900,'10/08/2018
41,01308133000273,POSTO TRES FAZENDAS,"RODOVIA BR 116,14219",,COSTEIRA,SAO JOSE DOS PINHAIS,PR,Gasolina C Comum,4.3900,'25/09/2018
42,01308133000273,POSTO TRES FAZENDAS,"RODOVIA BR 116,14219",,COSTEIRA,SAO JOSE DOS PINHAIS,PR,Diesel S500,3.4700,'25/09/2018
43,01308133000273,POSTO TRES FAZENDAS,"RODOVIA BR 116,14219",,COSTEIRA,SAO JOSE DOS PINHAIS,PR,Diesel S10,3.5700,'25/09/2018
44,01332532000199,AUTO POSTO MILENIO LTDA,"RUA BAHIA,1408",,VILA ROSA,CAMPO GRANDE,MS,Gasolina C Comum,4.0990,'15/04/2019
45,01332532000199,AUTO POSTO MILENIO LTDA,"RUA BAHIA,1408",,VILA ROSA,CAMPO GRANDE,MS,Etanol,3.2990,'15/04/2019
46,01332532000199,AUTO POSTO MILENIO LTDA,"RUA BAHIA,1408",,VILA ROSA,CAMPO GRANDE,MS,Diesel S10,3.5990,'15/04/2019
47,01392476000188,POSTO MODELO,"AVENIDA MANOEL INACIO PEIXOTO,624",,BEIRA RIO,CATAGUASES,MG,Gasolina C Comum,4.8490,'17/04/2019
48,01392476000188,POSTO MODELO,"AVENIDA MANOEL INACIO PEIXOTO,624",,BEIRA RIO,CATAGUASES,MG,Etanol,3.2990,'17/04/2019
49,01392476000188,POSTO MODELO,"AVENIDA MANOEL INACIO PEIXOTO,624",,BEIRA RIO,CATAGUASES,MG,Diesel S500,3.6990,'17/04/2019
50,01392476000188,POSTO MODELO,"AVENIDA MANOEL INACIO PEIXOTO,624",,BEIRA RIO,CATAGUASES,MG,Diesel S10,3.7990,'17/04/2019
51,01416988000137,POSTO 10,"RODOVIA BR 343 KM 10,S/N",,RODOVIA,TERESINA,PI,Gasolina C Comum,4.5990,'20/04/2019
52,01416988000137,POSTO 10,"RODOVIA BR 343 KM 10,S/N",,RODOVIA,TERESINA,PI,Diesel S500,3.5990,'20/04/2019
53,01416988000137,POSTO 10,"RODOVIA BR 343 KM 10,S/N",,RODOVIA,TERESINA,PI,Diesel S10,3.6990,'20/04/2019
54,01416988000137,POSTO 10,"RODOVIA BR 343 KM 10,S/N",,RODOVIA,TERESINA,PI,Etanol,3.7990,'20/04/2019
55,01443559000159,ROGER SOUZA DA SILVA - EPP,"ESTRADA BR 293 KM 108,SN",,ZONA URBANA,PINHEIRO MACHADO,RS,Gasolina C Comum,4.6900,'18/03/2019
56,01443559000159,ROGER SOUZA DA SILVA - EPP,"ESTRADA BR 293 KM 108,SN",,ZONA URBANA,PINHEIRO MACHADO,RS,Diesel S500,3.4300,'07/03/2019
57,01443559000159,ROGER SOUZA DA SILVA - EPP,"ESTRADA BR 293 KM 108,SN",,ZONA URBANA,PINHEIRO MACHADO,RS,Diesel S10,3.5400,'07/03/2019
58,01574763000109,AUTO POSTO MUTUM LTDA,"RODOVIA BR 262,S/N",KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Gasolina C Comum,4.6460,'11/07/2018
59,01574763000109,AUTO POSTO MUTUM LTDA,"RODOVIA BR 262,S/N",KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Etanol,3.4560,'11/07/2018
60,01574763000109,AUTO POSTO MUTUM LTDA,"RODOVIA BR 262,S/N",KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Diesel S500,3.3460,'11/07/2018
61,01574763000109,AUTO POSTO MUTUM LTDA,"RODOVIA BR 262,S/N",KM 175,ZONA RURAL,RIBAS DO RIO PARDO,MS,Diesel S10,3.4060,'11/07/2018
62,01828198000169,POSTO DE SERVICOS CIDADE DO MAR,"AVENIDA EDGAR SCHENEIDER,877",,CURUMIN,CAPAO DA CANOA,RS,Gasolina C Comum,4.6900,'21/04/2019
63,01828198000169,POSTO DE SERVICOS CIDADE DO MAR,"AVENIDA EDGAR SCHENEIDER,877",,CURUMIN,CAPAO DA CANOA,RS,Diesel S500,3.3900,'21/04/2019
64,01828198000169,POSTO DE SERVICOS CIDADE DO MAR,"AVENIDA EDGAR SCHENEIDER,877",,CURUMIN,CAPAO DA CANOA,RS,Diesel S10,3.4900,'21/04/2019
65,01828198000169,POSTO DE SERVICOS CIDADE DO MAR,"AVENIDA EDGAR SCHENEIDER,877",,CURUMIN,CAPAO DA CANOA,RS,Etanol,4.6900,'21/04/2019
66,01935272000146,POSTOS MOURA,"RODOVIA BR 232,204",KM    182,SANTO ANTONIO,BELO JARDIM,PE,Gasolina C Comum,4.4390,'04/07/2018
67,01935272000146,POSTOS MOURA,"RODOVIA BR 232,204",KM    182,SANTO ANTONIO,BELO JARDIM,PE,Etanol,3.4990,'04/07/2018
68,01935272000146,POSTOS MOURA,"RODOVIA BR 232,204",KM    182,SANTO ANTONIO,BELO JARDIM,PE,Diesel S500,3.3690,'04/07/2018
69,01935272000146,POSTOS MOURA,"RODOVIA BR 232,204",KM    182,SANTO ANTONIO,BELO JARDIM,PE,Diesel S10,3.3890,'04/07/2018
70,02056229000173,POSTO FRANKLIN REZENDE LTDA,"RODOVIA MG 367,S/N",KM 278,ZONA RURAL,ARACUAI,MG,Gasolina C Comum,5.4800,'16/10/2018
71,02056229000173,POSTO FRANKLIN REZENDE LTDA,"RODOVIA MG 367,S/N",KM 278,ZONA RURAL,ARACUAI,MG,Etanol,3.4800,'16/10/2018
72,02056229000173,POSTO FRANKLIN REZENDE LTDA,"RODOVIA MG 367,S/N",KM 278,ZONA RURAL,ARACUAI,MG,Diesel S500,4.0700,'16/10/2018
73,02056229000173,POSTO FRANKLIN REZENDE LTDA,"RODOVIA MG 367,S/N",KM 278,ZONA RURAL,ARACUAI,MG,Diesel S10,4.1200,'16/10/2018
74,02078330000125,SAO MARTINHO AUTO SERVICE LTDA,"AVENIDA SAO JOSE DOS CAMPOS,2500",,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Gasolina C Comum,4.0990,'23/01/2019
75,02078330000125,SAO MARTINHO AUTO SERVICE LTDA,"AVENIDA SAO JOSE DOS CAMPOS,2500",,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Etanol,2.7990,'29/01/2019
76,02078330000125,SAO MARTINHO AUTO SERVICE LTDA,"AVENIDA SAO JOSE DOS CAMPOS,2500",,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Diesel S500,3.5990,'23/01/2019
77,02078330000125,SAO MARTINHO AUTO SERVICE LTDA,"AVENIDA SAO JOSE DOS CAMPOS,2500",,LOTEAMENTO PARQUE SAO MARTINHO,CAMPINAS,SP,Diesel S10,3.6990,'23/01/2019
78,02308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA,"RODOVIA RS 040 KM 18,3536",,AGUAS CLARAS,VIAMAO,RS,Gasolina C Comum,4.6990,'21/03/2019
79,02308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA,"RODOVIA RS 040 KM 18,3536",,AGUAS CLARAS,VIAMAO,RS,Etanol,4.1990,'21/03/2019
80,02308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA,"RODOVIA RS 040 KM 18,3536",,AGUAS CLARAS,VIAMAO,RS,GNV,3.4990,'21/03/2019
81,02308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA,"RODOVIA RS 040 KM 18,3536",,AGUAS CLARAS,VIAMAO,RS,Diesel S500,3.4990,'21/03/2019
82,02308408000150,POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA,"RODOVIA RS 040 KM 18,3536",,AGUAS CLARAS,VIAMAO,RS,Diesel S10,3.6990,'21/03/2019
83,02315421000137,POSTO 1350 LTDA,"RUA HEITOR LIBERATO,2430",,SAO JOAO,ITAJAI,SC,Gasolina C Comum,3.7990,'14/08/2018
84,02315421000137,POSTO 1350 LTDA,"RUA HEITOR LIBERATO,2430",,SAO JOAO,ITAJAI,SC,Etanol,3.2990,'14/08/2018
85,02315421000137,POSTO 1350 LTDA,"RUA HEITOR LIBERATO,2430",,SAO JOAO,ITAJAI,SC,Diesel S10,3.2990,'14/08/2018
86,02433811000101,POSTO NAVES,"RODOVIA BR 153,S/N",KM 722,CENTRO,FIGUEIROPOLIS,TO,Gasolina C Comum,4.8990,'11/07/2018
87,02433811000101,POSTO NAVES,"RODOVIA BR 153,S/N",KM 722,CENTRO,FIGUEIROPOLIS,TO,Etanol,3.8990,'11/07/2018
88,02433811000101,POSTO NAVES,"RODOVIA BR 153,S/N",KM 722,CENTRO,FIGUEIROPOLIS,TO,Diesel S500,3.6390,'11/07/2018
89,02433811000101,POSTO NAVES,"RODOVIA BR 153,S/N",KM 722,CENTRO,FIGUEIROPOLIS,TO,Diesel S10,3.7390,'11/07/2018
90,02455511000123,AUTO POSTO 020,"RODOVIA BR 020,SN",KM    30,DISTRITO DO BEZERRA,FORMOSA,GO,Gasolina C Comum,4.4590,'20/04/2019
91,02455511000123,AUTO POSTO 020,"RODOVIA BR 020,SN",KM    30,DISTRITO DO BEZERRA,FORMOSA,GO,Etanol,3.1600,'20/04/2019
92,02455511000123,AUTO POSTO 020,"RODOVIA BR 020,SN",KM    30,DISTRITO DO BEZERRA,FORMOSA,GO,Diesel S500,3.5790,'18/04/2019
93,02455511000123,AUTO POSTO 020,"RODOVIA BR 020,SN",KM    30,DISTRITO DO BEZERRA,FORMOSA,GO,Diesel S10,3.6290,'18/04/2019
94,02513158000190,POSTO CENTRAL HS,"AVENIDA ADELINO AMÉRICO DE AZEVEDO,161/163",,CENTRO,PORANGATU,GO,Gasolina C Comum,4.8400,'21/03/2019
95,02513158000190,POSTO CENTRAL HS,"AVENIDA ADELINO AMÉRICO DE AZEVEDO,161/163",,CENTRO,PORANGATU,GO,Etanol,3.2500,'11/04/2019
96,02513158000190,POSTO CENTRAL HS,"AVENIDA ADELINO AMÉRICO DE AZEVEDO,161/163",,CENTRO,PORANGATU,GO,Diesel S500,3.5700,'21/03/2019
97,02513158000190,POSTO CENTRAL HS,"AVENIDA ADELINO AMÉRICO DE AZEVEDO,161/163",,CENTRO,PORANGATU,GO,Diesel S10,3.9400,'21/03/2019
98,02562482000107,POSTO ITAMARATY LEME,"AVENIDA VISCONDE DE NOVA GRANADA,1500",,VILA GROSSKLAUSS,LEME,SP,Gasolina C Comum,3.7990,'30/01/2019
99,02562482000107,POSTO ITAMARATY LEME,"AVENIDA VISCONDE DE NOVA GRANADA,1500",,VILA GROSSKLAUSS,LEME,SP,Etanol,2.4990,'30/01/2019
100,02737116000133,AUTO POSTO RIO BRANCO DE ANDRADAS LTDA,"RUA CEL OLIVEIRA,786",,CENTRO,ANDRADAS,MG,Gasolina C Comum,4.7790,'18/04/2019
101,02737116000133,AUTO POSTO RIO BRANCO DE ANDRADAS LTDA,"RUA CEL OLIVEIRA,786",,CENTRO,ANDRADAS,MG,Etanol,3.1490,'23/04/2019
102,02737116000133,AUTO POSTO RIO BRANCO DE ANDRADAS LTDA,"RUA CEL OLIVEIRA,786",,CENTRO,ANDRADAS,MG,Diesel S500,3.6490,'18/04/2019
103,02737116000133,AUTO POSTO RIO BRANCO DE ANDRADAS LTDA,"RUA CEL OLIVEIRA,786",,CENTRO,ANDRADAS,MG,Diesel S10,3.6990,'18/04/2019
104,02930356000150,AUTO POSTO TOCANTINS,"AVENIDA BERNARDO SAYAO,3160",,CENTRO,GUARAI,TO,Gasolina C Comum,4.7990,'13/07/2018
105,02930356000150,AUTO POSTO TOCANTINS,"AVENIDA BERNARDO SAYAO,3160",,CENTRO,GUARAI,TO,Diesel S500,3.4490,'13/07/2018
106,02930356000150,AUTO POSTO TOCANTINS,"AVENIDA BERNARDO SAYAO,3160",,CENTRO,GUARAI,TO,Diesel S10,3.4990,'13/07/2018
107,03006726000120,POSTO PILOTO,"AVENIDA AFONSO PENA,800",,AMAMBAI,CAMPO GRANDE,MS,Gasolina C Comum,4.0970,'29/06/2018
108,03006726000120,POSTO PILOTO,"AVENIDA AFONSO PENA,800",,AMAMBAI,CAMPO GRANDE,MS,Etanol,3.2970,'29/06/2018
109,03006726000120,POSTO PILOTO,"AVENIDA AFONSO PENA,800",,AMAMBAI,CAMPO GRANDE,MS,Diesel S10,3.5870,'29/06/2018
110,03096030000131,POSTO ALTO ALEGRE,"AVENIDA TANCREDO NEVES,3774",,CENTRO,ALTO ALEGRE DOS PARECIS,RO,Gasolina C Comum,4.8500,'11/07/2018
111,03096030000131,POSTO ALTO ALEGRE,"AVENIDA TANCREDO NEVES,3774",,CENTRO,ALTO ALEGRE DOS PARECIS,RO,Diesel S500,3.7500,'11/07/2018
112,03096030000131,POSTO ALTO ALEGRE,"AVENIDA TANCREDO NEVES,3774",,CENTRO,ALTO ALEGRE DOS PARECIS,RO,Diesel S10,3.8000,'11/07/2018
113,03121901000120,POSTO SAVANA,"RODOVIA BR-163,17846",,CHACARA DAS MANSOES,CAMPO GRANDE,MS,Gasolina C Comum,4.1990,'05/07/2018
114,03121901000120,POSTO SAVANA,"RODOVIA BR-163,17846",,CHACARA DAS MANSOES,CAMPO GRANDE,MS,Etanol,2.9990,'06/07/2018
115,03121901000120,POSTO SAVANA,"RODOVIA BR-163,17846",,CHACARA DAS MANSOES,CAMPO GRANDE,MS,Diesel S500,3.3900,'05/07/2018
116,03121901000120,POSTO SAVANA,"RODOVIA BR-163,17846",,CHACARA DAS MANSOES,CAMPO GRANDE,MS,Diesel S10,3.4900,'05/07/2018
117,03200588000115,POSTO SAFRA LTDA,"RODOVIA SC-480, CHAPECO GOIO-EN,943","E, FRENTE",QUEDAS DO PALMITAL,CHAPECO,SC,Gasolina C Comum,4.4490,'25/09/2018
118,03200588000115,POSTO SAFRA LTDA,"RODOVIA SC-480, CHAPECO GOIO-EN,943","E, FRENTE",QUEDAS DO PALMITAL,CHAPECO,SC,Diesel S500,3.3990,'25/09/2018
119,03200588000115,POSTO SAFRA LTDA,"RODOVIA SC-480, CHAPECO GOIO-EN,943","E, FRENTE",QUEDAS DO PALMITAL,CHAPECO,SC,Diesel S10,3.4690,'25/09/2018
120,03572731000108,GLOBO COMBUSTIVEIS,"RUA SENADOR SOUZA NAVES,720",,CENTRO,SERTANOPOLIS,PR,Gasolina C Comum,4.6490,'12/07/2018
121,03572731000108,GLOBO COMBUSTIVEIS,"RUA SENADOR SOUZA NAVES,720",,CENTRO,SERTANOPOLIS,PR,Etanol,2.9900,'12/07/2018
122,03572731000108,GLOBO COMBUSTIVEIS,"RUA SENADOR SOUZA NAVES,720",,CENTRO,SERTANOPOLIS,PR,Diesel S500,3.3300,'12/07/2018
123,03572731000108,GLOBO COMBUSTIVEIS,"RUA SENADOR SOUZA NAVES,720",,CENTRO,SERTANOPOLIS,PR,Diesel S10,3.4200,'12/07/2018
124,03572866000165,AUTO POSTO POROROCA XV,"AVENIDA BANDEIRANTES,2390",,VILA BANDEIRANTES,CAMPO GRANDE,MS,Gasolina C Comum,3.9990,'13/12/2018
125,03572866000165,AUTO POSTO POROROCA XV,"AVENIDA BANDEIRANTES,2390",,VILA BANDEIRANTES,CAMPO GRANDE,MS,Etanol,2.9990,'13/12/2018
126,03572866000165,AUTO POSTO POROROCA XV,"AVENIDA BANDEIRANTES,2390",,VILA BANDEIRANTES,CAMPO GRANDE,MS,Diesel S500,3.4990,'13/12/2018
127,03572866000165,AUTO POSTO POROROCA XV,"AVENIDA BANDEIRANTES,2390",,VILA BANDEIRANTES,CAMPO GRANDE,MS,Diesel S10,3.5990,'13/12/2018
128,03734859000112,POSTO UNIAO,"RUA JOSE DE ALENCAR LEITE,37",,CENTRO,SANTO ANTONIO DE PADUA,RJ,Gasolina C Comum,5.3990,'09/10/2018
129,03734859000112,POSTO UNIAO,"RUA JOSE DE ALENCAR LEITE,37",,CENTRO,SANTO ANTONIO DE PADUA,RJ,Etanol,3.4990,'09/10/2018
130,03734859000112,POSTO UNIAO,"RUA JOSE DE ALENCAR LEITE,37",,CENTRO,SANTO ANTONIO DE PADUA,RJ,Diesel S500,3.7500,'09/10/2018
131,03734859000112,POSTO UNIAO,"RUA JOSE DE ALENCAR LEITE,37",,CENTRO,SANTO ANTONIO DE PADUA,RJ,Diesel S10,3.8500,'09/10/2018
132,03754107000113,AUTO POSTO IRMAOS LEITE,"AVENIDA JK,3525",BR 364 KM 426,SETOR INDUSTRIAL,JARU,RO,Diesel S500,3.9800,'26/02/2019
133,03754107000113,AUTO POSTO IRMAOS LEITE,"AVENIDA JK,3525",BR 364 KM 426,SETOR INDUSTRIAL,JARU,RO,Diesel S10,4.0800,'26/02/2019
134,03754107000113,AUTO POSTO IRMAOS LEITE,"AVENIDA JK,3525",BR 364 KM 426,SETOR INDUSTRIAL,JARU,RO,Gasolina C Comum,4.7500,'15/04/2019
135,03754107000113,AUTO POSTO IRMAOS LEITE,"AVENIDA JK,3525",BR 364 KM 426,SETOR INDUSTRIAL,JARU,RO,Etanol,3.9900,'31/01/2019
136,03763006000109,AUTO POSTO PUMA,"AVENIDA JOAO BATISTA FIGUEIREDO,2636",,CENTRO,SAO MIGUEL DO GUAPORE,RO,Gasolina C Comum,4.8500,'29/06/2018
137,03763006000109,AUTO POSTO PUMA,"AVENIDA JOAO BATISTA FIGUEIREDO,2636",,CENTRO,SAO MIGUEL DO GUAPORE,RO,Etanol,4.2900,'29/06/2018
138,03763006000109,AUTO POSTO PUMA,"AVENIDA JOAO BATISTA FIGUEIREDO,2636",,CENTRO,SAO MIGUEL DO GUAPORE,RO,Diesel S500,3.7900,'29/06/2018
139,03763006000109,AUTO POSTO PUMA,"AVENIDA JOAO BATISTA FIGUEIREDO,2636",,CENTRO,SAO MIGUEL DO GUAPORE,RO,Diesel S10,3.8400,'29/06/2018
140,03807435000130,AUTO POSTO PEROBINHA,"AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,1100",,CENTRO,NOVA ANDRADINA,MS,Gasolina C Comum,4.6490,'18/04/2019
141,03807435000130,AUTO POSTO PEROBINHA,"AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,1100",,CENTRO,NOVA ANDRADINA,MS,Etanol,3.6990,'18/04/2019
142,03807435000130,AUTO POSTO PEROBINHA,"AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,1100",,CENTRO,NOVA ANDRADINA,MS,Diesel S500,3.7590,'22/04/2019
143,03807435000130,AUTO POSTO PEROBINHA,"AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,1100",,CENTRO,NOVA ANDRADINA,MS,Diesel S10,3.8590,'22/04/2019
